internet_usage,sex,age,education
0,Hombre,64,Secundaria
1,Hombre,35,Primaria
0,Mujer,60,Secundaria
0,Hombre,63,Primaria
1,Hombre,19,Secundaria
0,Hombre,47,Primaria
0,Hombre,78,Primaria
0,Mujer,52,Primaria
1,Mujer,44,Secundaria
0,Mujer,76,Primaria
0,Mujer,78,Sin estudios
1,Hombre,41,Superiores
0,Mujer,63,Primaria
1,Mujer,44,Secundaria
0,Mujer,68,Sin estudios
0,Hombre,66,Primaria
1,Hombre,25,Secundaria
1,Mujer,25,Superiores
1,Hombre,46,Secundaria
0,Mujer,67,Primaria
0,Mujer,59,Primaria
0,Hombre,40,Primaria
1,Mujer,25,F.P.
0,Hombre,76,Sin estudios
1,Hombre,22,F.P.
1,Mujer,53,Secundaria
1,Hombre,31,Primaria
0,Mujer,42,Primaria
0,Hombre,60,Primaria
0,Mujer,32,Secundaria
0,Hombre,25,F.P.
0,Hombre,70,Primaria
0,Mujer,80,Sin estudios
0,Hombre,47,F.P.
1,Mujer,20,Secundaria
1,Hombre,56,Superiores
0,Hombre,53,Primaria
0,Mujer,73,Sin estudios
0,Mujer,66,Sin estudios
1,Hombre,33,Primaria
1,Mujer,40,Primaria
1,Hombre,65,F.P.
0,Mujer,52,Primaria
1,Mujer,26,F.P.
1,Mujer,26,F.P.
0,Hombre,52,Sin estudios
1,Mujer,24,F.P.
0,Hombre,53,Secundaria
0,Hombre,35,Primaria
0,Mujer,69,Sin estudios
1,Mujer,36,Medios universitarios
1,Mujer,25,F.P.
0,Mujer,69,Primaria
0,Hombre,36,Primaria
1,Mujer,46,Medios universitarios
0,Mujer,60,Primaria
1,Hombre,48,Secundaria
1,Mujer,35,Medios universitarios
1,Hombre,29,Superiores
1,Hombre,33,Primaria
1,Mujer,42,Superiores
0,Mujer,63,Sin estudios
0,Hombre,59,Primaria
1,Hombre,43,Primaria
0,Mujer,66,Sin estudios
0,Mujer,64,Secundaria
1,Hombre,52,Secundaria
1,Mujer,31,Superiores
0,Hombre,87,Primaria
0,Mujer,95,Primaria
1,Hombre,33,F.P.
0,Hombre,44,Primaria
1,Mujer,46,Primaria
1,Mujer,31,Superiores
1,Mujer,63,Medios universitarios
1,Hombre,21,Medios universitarios
1,Mujer,42,F.P.
0,Mujer,75,Secundaria
0,Hombre,67,F.P.
1,Hombre,22,Secundaria
1,Hombre,37,Primaria
0,Hombre,54,Primaria
0,Hombre,62,Primaria
1,Mujer,28,F.P.
0,Mujer,52,Primaria
1,Mujer,41,F.P.
1,Mujer,65,F.P.
1,Mujer,30,Medios universitarios
0,Hombre,47,Primaria
1,Hombre,20,F.P.
1,Mujer,40,F.P.
0,Hombre,81,Primaria
1,Hombre,44,Primaria
1,Hombre,33,F.P.
1,Mujer,27,F.P.
1,Hombre,52,Superiores
1,Mujer,66,Medios universitarios
0,Hombre,74,Sin estudios
1,Mujer,19,Secundaria
0,Mujer,38,F.P.
1,Hombre,35,Superiores
1,Hombre,22,Secundaria
0,Mujer,53,Superiores
1,Mujer,32,Secundaria
1,Hombre,58,Secundaria
1,Mujer,23,Primaria
1,Hombre,31,Superiores
0,Mujer,66,Secundaria
1,Hombre,42,Primaria
0,Mujer,57,Primaria
1,Hombre,73,Superiores
1,Hombre,34,Primaria
1,Mujer,31,Secundaria
1,Mujer,36,Primaria
1,Hombre,38,Medios universitarios
0,Mujer,65,Primaria
1,Hombre,27,Primaria
0,Mujer,58,Primaria
0,Mujer,49,Sin estudios
0,Hombre,69,Primaria
0,Hombre,59,Secundaria
0,Mujer,36,Primaria
0,Mujer,72,Primaria
1,Hombre,46,F.P.
0,Mujer,18,Primaria
0,Hombre,34,Primaria
1,Mujer,32,Secundaria
1,Hombre,26,Primaria
1,Hombre,56,Secundaria
1,Hombre,31,F.P.
1,Mujer,26,F.P.
0,Hombre,84,Primaria
1,Mujer,24,Primaria
0,Mujer,50,Primaria
1,Hombre,24,Primaria
0,Hombre,64,Primaria
0,Mujer,60,Primaria
1,Hombre,38,Secundaria
1,Hombre,35,Primaria
1,Mujer,65,Primaria
1,Mujer,26,Secundaria
1,Mujer,42,Medios universitarios
0,Hombre,48,Primaria
0,Hombre,78,Sin estudios
1,Hombre,44,F.P.
0,Hombre,34,Primaria
0,Hombre,46,Secundaria
1,Mujer,21,Primaria
1,Hombre,40,Primaria
0,Mujer,64,Primaria
0,Hombre,68,Sin estudios
1,Mujer,48,F.P.
0,Mujer,85,Primaria
0,Hombre,55,Medios universitarios
1,Hombre,24,F.P.
0,Mujer,80,Sin estudios
1,Hombre,30,Primaria
1,Hombre,45,Medios universitarios
0,Hombre,64,Primaria
1,Mujer,18,Primaria
0,Mujer,35,Superiores
1,Mujer,55,Secundaria
1,Mujer,82,Medios universitarios
1,Mujer,38,Medios universitarios
0,Mujer,87,Primaria
1,Mujer,22,Medios universitarios
1,Hombre,51,Secundaria
0,Hombre,77,Primaria
1,Hombre,62,Medios universitarios
1,Hombre,37,F.P.
